"OD750","OD680","Observation_Date_Time"
0.681,0.974,"1/28/2015 10:00:00 AM"
0.702,1.03,"1/28/2015 10:00:00 AM"
0.823,1.217,"1/28/2015 10:00:00 AM"
0.266,0.266,"1/28/2015 12:00:00 AM"
0.284,0.284,"1/28/2015 12:00:00 AM"
0.308,0.308,"1/28/2015 12:00:00 AM"
1.278,1.278,"1/28/2015 12:00:00 AM"
1.08,1.69,"1/28/2015 2:30:00 PM"
1.12,1.7,"1/28/2015 2:30:00 PM"
1.28,1.94,"1/28/2015 2:30:00 PM"
1.62,2.66,"1/28/2015 2:30:00 PM"
1.65,2.71,"1/28/2015 2:30:00 PM"
1.65,2.71,"1/28/2015 2:30:00 PM"
1.94,3.17,"1/28/2015 2:30:00 PM"
0.681,0.974,"1/28/2015 9:00:00 AM"
0.681,0.974,"1/28/2015 9:00:00 AM"
0.702,1.03,"1/28/2015 9:00:00 AM"
0.823,1.217,"1/28/2015 9:00:00 AM"
0.823,1.217,"1/28/2015 9:00:00 AM"
0.702,1.03,"1/28/2015 9:00:00 AM"
0.823,1.217,"1/28/2015 9:00:00 AM"
1.4,2.23,"1/28/2015 9:00:00 AM"
1.41,2.32,"1/28/2015 9:00:00 AM"
1.41,2.32,"1/28/2015 9:00:00 AM"
0.97,1.44,"1/28/2015 9:00:00 AM"
1.6,2.54,"1/28/2015 9:00:00 AM"
1,1.71,"1/28/2015 9:00:00 AM"
1.06,1.74,"1/28/2015 9:00:00 AM"
0.768,1.131,"1/29/2015 10:00:00 AM"
0.799,1.199,"1/29/2015 10:00:00 AM"
0.886,1.335,"1/29/2015 10:00:00 AM"
0.288,0.288,"1/29/2015 12:00:00 AM"
0.29,0.29,"1/29/2015 12:00:00 AM"
0.292,0.292,"1/29/2015 12:00:00 AM"
1.224,1.224,"1/29/2015 12:00:00 AM"
1.21,1.83,"1/29/2015 2:30:00 PM"
1.26,2.07,"1/29/2015 2:30:00 PM"
1.37,2.15,"1/29/2015 2:30:00 PM"
1.94,3.1,"1/29/2015 2:30:00 PM"
1.94,3.12,"1/29/2015 2:30:00 PM"
2.15,3.53,"1/29/2015 2:30:00 PM"
1.73,2.75,"1/29/2015 9:00:00 AM"
1.73,2.75,"1/29/2015 9:00:00 AM"
1.63,2.64,"1/29/2015 9:00:00 AM"
1.91,3.1,"1/29/2015 9:00:00 AM"
